DaysPostVax,Animal,OD,Group
wk11,2.6,0.04155,EcA
wk11,3.2,0.2109,EcA
wk11,3.3,0.2525,EcA
wk11,3.4,0.3517,EcA
wk11,5.1,0.1271,EcA
wk11,5.2,0.18855,EcA
wk11,5.3,0.12925,EcA
wk11,5.5,0.1316,EcA
wk11,12.1,0.1335,Ec
wk11,12.2,0.0583,Ec
wk11,12.3,0.0663,Ec
wk11,12.5,0.0582,Ec
wk11,12.6,0.03815,Ec
wk11,12.7,0.11445,Ec
wk11,14.1,0.21445,Ec
wk11,14.2,0.01825,Ec
wk11,14.3,0.04775,Ec
wk11,14.4,0.07905,Ec
wk11,14.5,0.08495,Ec
wk11,14.7,0.0393,Ec
wk11,14.8,0.0321,Ec
wk11,15.1,0.0574,Ec
wk11,15.2,0.03815,Ec
wk11,15.3,0.07765,Ec
wk11,15.4,0.17415,Ec
wk11,16.1,0.0481,Ec
wk11,16.4,0.11125,Ec
wk11,16.5,0.0423,Ec
d77/wk11,16.6,0.08985,Ec
d84/wk12,1.1,0.02655,EcA
wk12,1.2,0.03605,EcA
wk12,1.3,0.277,EcA
wk12,1.5,0.135,EcA
wk12,1.6,0.076,EcA
wk12,1.7,0.09855,EcA
wk12,2.1,0.05055,EcA
wk12,2.2,0.0373,EcA
wk12,2.4,0.12015,EcA
wk12,2.5,0.04715,EcA
wk12,2.6,0.08205,EcA
wk12,3.2,0.5636,EcA
wk12,3.3,0.34505,EcA
wk12,3.4,0.4522,EcA
wk12,5.1,0.0696,EcA
wk12,5.3,0.11575,EcA
wk12,5.5,0.1923,EcA
wk12,12.1,0.19095,Ec
wk12,12.2,0.09935,Ec
wk12,12.3,0.14235,Ec
wk12,12.5,0.04485,Ec
wk12,12.6,0.21445,Ec
wk12,12.7,0.10665,Ec
wk12,14.1,0.1755,Ec
wk12,14.2,0.1571,Ec
wk12,14.3,0.14195,Ec
wk12,14.4,0.14165,Ec
wk12,14.5,0.0997,Ec
wk12,14.6,0.0747,Ec
wk12,14.7,0.0711,Ec
wk12,14.8,0.07905,Ec
wk12,15.1,0.0382,Ec
wk12,15.2,0.0441,Ec
wk12,15.3,0.15015,Ec
wk12,15.4,0.10925,Ec
wk12,16.1,0.06025,Ec
